Cust_id,Time_Section_Clothing,Time_Section_Electronics,Time_Section_Snacks,Time_Section_Sports,PickUp Products,Pref_cat
1,0.21,0.26,0.38,0.26,Rings,Clothing
2,0.57,0.78,0.72,0.78,Caps,Clothing
3,0.18,0.08,0.21,0.08,Hair accessories,Clothing
4,0.1,0.73,0.27,0.73,Traditional clothing,Clothing
5,0.97,0.92,0.74,0.92,Jeans,Clothing
6,0.54,0.01,0.43,0.01,Formal shirts,Clothing
7,0.58,0.3,0.32,0.3,Hats,Clothing
8,0.85,0.66,0.59,0.66,Rompers,Clothing
9,0.44,0.07,0.63,0.07,Trench coats,Clothing
10,0.73,0.47,0.69,0.47,Sportswear,Clothing
11,0.38,0.26,0.13,0.26,Keychains,Clothing
12,0.36,0.55,0.08,0.55,Formal shirts,Clothing
13,0.27,0.89,0.7,0.89,Hair accessories,Clothing
14,0.03,0.53,0.21,0.53,Sweaters,Clothing
15,0.36,0.22,0.72,0.22,Jewelry,Clothing
16,0.68,0.78,0.85,0.78,Hoodies,Clothing
17,0.65,0.49,0.75,0.49,Hoodies,Clothing
18,0.79,0.01,0.5,0.01,Stilettos,Clothing
19,0.07,0.56,0.33,0.56,Handbags,Clothing
20,0.39,0.34,0.93,0.34,Workout clothes,Clothing
21,0.55,0.14,0.94,0.14,Stilettos,Clothing
22,0.07,0.35,0.68,0.35,Flats,Clothing
23,0.17,0.71,0.1,0.71,Skirts,Clothing
24,0.78,0.45,0.14,0.45,Work uniforms,Clothing
25,0.94,0.3,0.62,0.3,Cufflinks,Clothing
26,0.48,0.63,0.21,0.38,Kimonos,Clothing
27,0.21,0.33,0.33,0.72,Flats,Clothing
28,0.08,0.28,0.5,0.21,Pants,Clothing
29,0.07,0.34,0.27,0.27,Skirts,Clothing
30,0.92,0.91,0.06,0.74,Tuxedos,Clothing
31,0.81,0.99,0.28,0.43,Cosplay outfits,Clothing
32,0.01,0.39,0,0.32,Robes,Clothing
33,0.78,0.09,0.34,0.59,Jeans,Clothing
34,0.34,0.25,0.64,0.63,Tie clips,Clothing
35,0.55,0.3,0.46,0.69,Caps,Clothing
36,0.46,0.51,0.23,0.13,Formal shirts,Clothing
37,0.84,0.09,0.8,0.08,Jewelry,Clothing
38,0.76,0.94,0.64,0.7,Tuxedos,Clothing
39,0.03,0.17,0.18,0.21,Cardigans,Clothing
40,0.64,0.9,0.43,0.72,Formalwear,Clothing
41,0.82,0.35,0.52,0.85,Traditional clothing,Clothing
42,0.68,0.03,0.73,0.75,Winter jackets,Clothing
43,0.39,0.28,0.91,0.5,Leotards & tights,Clothing
44,0.38,0.22,0.09,0.33,Dancewear,Clothing
45,0.43,0,0.69,0.93,Jumpsuits,Clothing
46,0.44,0.34,0.94,0.94,Bras,Clothing
47,0.85,0.42,0.26,0.68,Cardigans,Clothing
48,0.28,0.62,0.59,0.1,Kilts,Clothing
49,0.96,0.49,0.41,0.14,Ties & bow ties,Clothing
50,0.74,0.93,0.04,0.62,Heels,Clothing
51,0.24,0.04,0.48,0.21,Clutches,Clothing
52,0.42,0.31,0.9,0.33,Watches,Clothing
53,0.98,0.39,0.89,0.5,Dancewear,Clothing
54,0.23,0.63,0.27,0.27,Dresses,Clothing
55,0.55,0.43,0,0.06,Wallets,Clothing
56,0.12,0.15,0.03,0.28,Trench coats,Clothing
57,0.87,0.61,0.79,0,Heels,Clothing
58,0.27,0.05,0.25,0.34,Pants,Clothing
59,0.64,0.91,0.03,0.64,Uniforms,Clothing
60,0.93,0.61,0.88,0.46,Kimonos,Clothing
61,0.69,0.14,0.99,0.23,Tuxedos,Clothing
62,0.67,0.28,0.76,0.8,Parkas,Clothing
63,0.54,0.95,0.61,0.64,Watches,Clothing
64,0.55,0.15,0.97,0.18,Clutches,Clothing
65,0.06,0.72,0.31,0.43,Raincoats,Clothing
66,0.59,0.63,0.82,0.52,Leggings,Clothing
67,0.22,0.85,0.24,0.73,Sweaters,Clothing
68,0.37,0.24,0.18,0.91,Uniforms,Clothing
69,0.26,0.21,0.09,0.09,Jumpsuits,Clothing
70,0.24,0.52,0.64,0.69,Prescription glasses,Clothing
71,0.72,0.84,0.44,0.94,Formalwear,Clothing
72,0.77,0.35,0.84,0.26,Sarees,Clothing
73,0.86,0.06,0.94,0.59,Performance wear,Clothing
74,0.46,0.88,0.25,0.41,Work gloves,Clothing
75,0.63,0.1,0.14,0.04,Dancewear,Clothing
76,0.73,0.91,0.08,0.48,Rings,Clothing
77,0.48,0.51,0.26,0.9,Hair accessories,Clothing
78,0.95,0.87,0.92,0.89,Stilettos,Clothing
79,0.16,0.53,0.63,0.27,Hats,Clothing
80,0.64,0.42,0.11,0.77,Wallets,Clothing
81,0.14,0.63,0.85,0.86,Denim jackets,Clothing
82,0.68,0.33,0.29,0.46,Bracelets,Clothing
83,0.33,0.46,0.15,0.63,Dancewear,Clothing
84,0.93,0.15,0.81,0.73,Formalwear,Clothing
85,0.73,0.53,0.43,0.48,Raincoats,Clothing
86,0.58,0.17,0.04,0.95,Workout clothes,Clothing
87,0.83,0.88,0.95,0.16,Robes,Clothing
88,0.43,0.96,0.79,0.64,Tie clips,Clothing
89,0.73,0.63,0.5,0.14,Ties & bow ties,Clothing
90,0.82,0.88,0.69,0.68,Performance wear,Clothing
91,0.8,0.43,0.09,0.33,Sandals,Clothing
92,0.66,0.58,0.35,0.93,Keychains,Clothing
93,0.28,0.69,0.19,0.73,Bracelets,Clothing
94,0.18,0.11,0.42,0.58,Dancewear,Clothing
95,0.01,0.35,0.06,0.83,Windbreakers,Clothing
96,0.05,0.83,0.79,0.43,Sneakers,Clothing
97,0.46,0.59,0.91,0.73,Winter jackets,Clothing
98,0.08,0.78,0.13,0.82,Sweaters,Clothing
99,0.85,0.45,0.59,0.8,Jewelry,Clothing
100,0.66,0.37,0.04,0.66,Windbreakers,Clothing
101,0.46,0.17,0.38,0.28,Cardigans,Clothing
102,0.38,0.49,0.44,0.18,Denim jackets,Clothing
103,0.44,0.57,0.46,0.01,Winter jackets,Clothing
104,0.68,0.11,0.19,0.05,Rompers,Clothing
105,0.51,0.81,0.47,0.46,Caps,Clothing
106,0.63,0.65,0.39,0.08,Kimonos,Clothing
107,0.59,0.58,0.41,0.85,Handbags,Clothing
108,0.37,0.18,0.4,0.66,Swimwear,Clothing
109,0.79,0.18,0.85,0.46,Heels,Clothing
110,0.39,0.25,0.81,0.38,Dancewear,Clothing
111,0.88,0.3,0.24,0.44,Sweaters,Clothing
112,0.82,0.06,0.77,0.68,Hoodies,Clothing
113,0.26,0.73,0.9,0.51,Loafers,Clothing
114,0.89,0.01,0.89,0.63,Handbags,Clothing
115,0.49,0.7,0.35,0.59,Winter jackets,Clothing
116,0.66,0,0.92,0.37,Kilts,Clothing
117,0.71,0.64,0.37,0.79,Sneakers,Clothing
118,0.5,0.18,0.43,0.39,Robes,Clothing
119,0.53,0.07,0.11,0.88,Tuxedos,Clothing
120,0.87,0.89,0.42,0.82,Shoes,Clothing
121,0.69,0.1,0.11,0.26,Trench coats,Clothing
122,0.07,0.45,0.27,0.89,Formal shirts,Clothing
123,0.47,0.03,0.71,0.49,Tote bags,Clothing
124,0.55,0.29,0.87,0.66,Handbags,Clothing
125,0.5,0.65,0.41,0.71,Handbags,Clothing
126,0.66,0.05,0.46,0.5,Cosplay outfits,Clothing
127,0.28,0.7,0.5,0.53,Ties & bow ties,Clothing
128,0.89,1,0.23,0.87,Tracksuits,Clothing
129,0.75,0.13,0.77,0.69,Suits,Clothing
130,0.51,0.9,0.69,0.07,Stilettos,Clothing
131,0.83,0.35,0.67,0.47,Costumes,Clothing
132,0.78,0.14,0.71,0.55,Trench coats,Clothing
133,0.55,0.76,0.41,0.5,Parkas,Clothing
134,0.87,0.67,0.51,0.66,Leotards & tights,Clothing
135,0.03,0.09,0.43,0.28,Bracelets,Clothing
136,0.32,0.84,0.63,0.89,Sweaters,Clothing
137,0.92,0.4,0.29,0.75,Sportswear,Clothing
138,0.34,0.91,0.98,0.51,Raincoats,Clothing
139,0.04,0.19,0.74,0.83,Jewelry,Clothing
140,0.07,0.24,0.28,0.78,Traditional clothing,Clothing
141,0.77,0.61,0.7,0.55,Keychains,Clothing
142,0.38,0.63,0.76,0.87,Spring jackets,Clothing
143,0.76,0.62,0.37,0.03,Flip-flops,Clothing
144,0.43,0.02,0.38,0.32,Flip-flops,Clothing
145,0.88,0.15,0.45,0.92,Sweaters,Clothing
146,0.43,0.13,1,0.34,Sweaters,Clothing
147,0.75,0.08,0.2,0.04,Parkas,Clothing
148,0.54,0.21,0.7,0.07,Children's clothing,Clothing
149,0.69,0.25,0.08,0.77,Leotards & tights,Clothing
150,0.22,0.79,0.5,0.38,Jewelry,Clothing
151,0.61,0.16,0.95,0.76,Children's clothing,Clothing
152,0.08,0.65,0.14,0.43,Theatrical costumes,Clothing
153,0.3,0.44,0.41,0.88,Uniforms,Clothing
154,0.67,0.88,0.87,0.43,Sportswear,Clothing
155,0.51,0.13,0.9,0.75,Hats,Clothing
156,0.85,0.14,0.87,0.54,Performance wear,Clothing
157,0.7,0.43,0.56,0.69,Denim jackets,Clothing
158,0.21,0.39,0.99,0.22,Handbags,Clothing
159,0.82,0.27,0.4,0.61,Tracksuits,Clothing
160,0.7,0.31,0.28,0.08,School uniforms,Clothing
161,0.12,0.36,0.66,0.3,Sports uniforms,Clothing
162,0.36,0.79,0.27,0.67,Maternity wear,Clothing
163,0.66,0.21,1,0.51,Sweaters,Clothing
164,0.02,0.37,0.2,0.85,Necklaces,Clothing
165,0.4,0.4,0.71,0.7,Bras,Clothing
166,0.25,0.55,0.24,0.21,Scarves,Clothing
167,0.69,0.24,0.69,0.82,Sunglasses,Clothing
168,0.92,0.35,0.78,0.7,Sports uniforms,Clothing
169,0.18,0.77,0.65,0.12,Suits,Clothing
170,0.12,0.07,0.76,0.36,Cosplay outfits,Clothing
171,0.97,0.51,0.27,0.66,Skirts,Clothing
172,0.87,0.8,0.56,0.02,School uniforms,Clothing
173,0.27,0.3,0.36,0.4,Children's clothing,Clothing
174,0.67,0.93,0.42,0.25,Cufflinks,Clothing
175,0.45,0.75,0.93,0.69,T-shirts,Clothing
176,0.93,0.2,0.16,0.92,Leotards & tights,Clothing
177,0.45,0.09,0,0.18,Keychains,Clothing
178,0.72,0.67,0.69,0.12,Sportswear,Clothing
179,0.06,1,0.76,0.97,Sportswear,Clothing
180,0.42,0.19,0.28,0.87,Suits,Clothing
181,0.27,0.46,0.19,0.27,Scarves,Clothing
182,0.58,0.52,0.19,0.67,Sandals,Clothing
183,0.11,0.07,0.98,0.45,Hats,Clothing
184,0.14,0.61,0.76,0.93,Sarees,Clothing
185,0.51,0.54,0.9,0.45,Robes,Clothing
186,0.16,0.56,0.35,0.72,Coats,Clothing
187,0.8,0.03,0.79,0.06,Flats,Clothing
188,0.99,0.93,0.27,0.42,Hats,Clothing
189,0.91,0.4,0.16,0.27,Sarees,Clothing
190,0.55,0.92,0.18,0.58,Leather jackets,Clothing
191,0.85,0.53,0.92,0.11,Hair accessories,Clothing
192,0.31,0.1,0.48,0.14,Winter jackets,Clothing
193,0.52,0.89,0.35,0.51,T-shirts,Clothing
194,0.37,0.65,0.98,0.16,Robes,Clothing
195,0.74,0.9,0.41,0.8,Sleepwear,Clothing
196,0.57,0.89,0.52,0.99,Flats,Clothing
197,0.9,0.58,0.02,0.91,Earrings,Clothing
198,0.82,0.38,0.66,0.55,Sweaters,Clothing
199,0.33,0.84,0.06,0.85,Uniforms,Clothing
200,0.51,0.96,0.39,0.31,Uniforms,Clothing
201,0.95,0.22,0.62,0.52,Boxers & briefs,Clothing
202,0.22,0.04,0.09,0.37,Sunglasses,Clothing
203,0.81,0.29,0.26,0.74,Tote bags,Clothing
204,0.79,0.24,0.27,0.57,Work gloves,Clothing
205,0.93,0.31,0.7,0.9,Heels,Clothing
206,0.8,0.21,0.37,0.82,Shawls,Clothing
207,0.86,0.33,0.24,0.33,Theatrical costumes,Clothing
208,0.99,0.15,0.62,0.51,Keychains,Clothing
209,0.87,0.55,0.53,0.95,Work gloves,Clothing
210,0.89,0.84,0.14,0.22,Heels,Clothing
211,0.78,0.42,0.55,0.81,Earrings,Clothing
213,0.67,0.1,0.69,0.79,Sports uniforms,Clothing
214,0.58,0.43,0.71,0.93,Tie clips,Clothing
215,0.81,0.32,0.1,0.8,Jewelry,Clothing
216,0.21,0.06,0.31,0.86,Shoes,Clothing
217,0.09,0.48,0.99,0.99,Tuxedos,Clothing
218,0.13,0.87,0.13,0.87,Sunglasses,Clothing
219,0.56,0.88,0.69,0.89,Leather jackets,Clothing
220,0.03,0.59,0.76,0.78,Kilts,Clothing
221,0.99,0.94,0.93,0.67,Heels,Clothing
222,0.07,0.64,0.84,0.58,Work uniforms,Clothing
223,0.82,0.77,0.26,0.81,Boxers & briefs,Clothing
224,0.23,0.26,0.55,0.21,Sleepwear,Clothing
225,0.17,0.71,0.25,0.09,Evening gowns,Clothing
226,0.45,0.9,0.25,0.13,Leggings,Clothing
227,0.6,0.79,0.81,0.56,Kilts,Clothing
228,0.12,0.96,0.59,0.03,Watches,Clothing
229,0.67,0.05,0.33,0.99,Shawls,Clothing
230,0.3,1,0.53,0.07,Leather jackets,Clothing
231,0.78,0.83,0.09,0.82,Keychains,Clothing
232,0.95,0.25,0.17,0.23,Maternity wear,Clothing
233,0.29,0.03,0.97,0.17,Rings,Clothing
234,0.96,0.95,0.61,0.45,Dancewear,Clothing
235,0.62,0.17,0.1,0.6,Gloves & mittens,Clothing
236,0.58,0.95,0.31,0.12,Sportswear,Clothing
237,0.77,0.12,0.52,0.67,Flats,Clothing
238,0.04,0.36,0.15,0.3,Slippers,Clothing
239,0.18,0.58,0.04,0.78,Jackets,Clothing
240,0.93,0.54,0.86,0.95,Loafers,Clothing
241,0.61,0.23,0.09,0.29,Theatrical costumes,Clothing
242,0.39,0.05,0.73,0.96,Performance wear,Clothing
243,0.61,0.86,0.92,0.62,Parkas,Clothing
244,0.83,0.63,0.25,0.58,School uniforms,Clothing
245,0.9,0.87,0.31,0.77,Cardigans,Clothing
246,0.64,0.16,0.45,0.04,Robes,Clothing
247,0.05,0.2,0.42,0.18,Performance wear,Clothing
248,0.9,0.2,0.25,0.93,Skirts,Clothing
249,0.46,0.2,0.33,0.61,Flip-flops,Clothing
250,0.51,0.5,0.43,0.39,Sneakers,Clothing
251,0.38,0.29,0.84,0.61,Bracelets,Clothing
252,0.07,0.47,0.29,0.83,Workout clothes,Clothing
253,0.94,0.42,0.48,0.9,Trench coats,Clothing
254,0.78,0.87,0.07,0.64,Luggage,Clothing
255,0.3,0.31,0.83,0.05,Work gloves,Clothing
256,0.41,0.94,0.11,0.9,Costumes,Clothing
257,0.13,0.14,0.81,0.46,Bracelets,Clothing
259,0.15,0.07,0.67,0.51,Cufflinks,Clothing
260,0.75,0.52,0.52,0.38,Cosplay outfits,Clothing
261,0.23,0.54,0.93,0.07,Cosplay outfits,Clothing
262,0.43,0.68,0.36,0.94,Caps,Clothing
263,0.65,0.08,0.05,0.78,Kilts,Clothing
264,0.19,0.76,0.17,0.3,Costumes,Clothing
265,0.72,0.27,0.71,0.41,Denim jackets,Clothing
266,0.19,0.86,0.33,0.13,Bracelets,Clothing
267,0.51,0.69,0.21,0.15,Sports bras,Clothing
268,0.28,0.87,0.37,0.75,Leotards & tights,Clothing
269,0.93,0.45,0.44,0.23,Traditional clothing,Clothing
270,0.96,0.43,0.18,0.43,Rings,Clothing
271,0.07,0.44,0.13,0.65,Tie clips,Clothing
272,0.42,0.9,0.65,0.19,Jackets,Clothing
273,0.47,0.26,0.44,0.72,Work uniforms,Clothing
274,0.15,0.85,0.72,0.19,Prescription glasses,Clothing
275,0.68,0.17,0.98,0.51,Jackets,Clothing
276,0.18,0.4,0.7,0.28,Skirts,Clothing
277,0.94,0.52,0.78,0.93,Rompers,Clothing
